,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Albany,90,US,1566705101,72,42.65,-73.75,66.2,5.37
1,Lata,83,IN,1566705135,95,30.78,78.62,47.12,3.8
2,Saint-Philippe,1,CA,1566705136,93,45.36,-73.48,63.0,5.82
3,Chuy,100,UY,1566705137,82,-33.69,-53.46,53.04,10.87
4,Bethel,40,US,1566705139,48,60.79,-161.76,62.6,4.7
5,Vestmannaeyjar,100,IS,1566705140,86,63.44,-20.27,50.27,6.02
6,Bonfim,0,BR,1566705141,63,-20.33,-44.24,64.4,8.05
7,Vanimo,99,PG,1566705143,72,-2.67,141.3,83.01,8.46
8,Rikitea,64,PF,1566705144,69,-23.12,-134.97,70.25,21.27
9,San Cristobal,8,HN,1566705145,84,14.68,-86.92,68.82,4.54
10,Atuona,0,PF,1566705147,70,-9.8,-139.03,79.43,13.13
11,Mataura,100,NZ,1566705148,96,-46.19,168.86,48.99,1.99
12,Selikhino,90,RU,1566705149,65,50.37,137.51,65.58,5.88
13,Hermanus,1,ZA,1566705151,83,-34.42,19.24,55.99,5.99
14,Geraldton,75,CA,1566705152,76,49.72,-86.95,53.6,6.93
15,Busselton,0,AU,1566705153,37,-33.64,115.35,64.0,8.3
16,Rio Gallegos,40,AR,1566705106,76,-51.62,-69.22,35.6,4.7
17,Punta Arenas,0,CL,1566705156,80,-53.16,-70.91,39.2,6.93
18,Iqaluit,40,CA,1566705157,81,63.75,-68.52,46.4,10.29
19,Tiksi,94,RU,1566705158,88,71.64,128.87,49.02,13.35
20,Myitkyina,0,MM,1566705160,64,25.38,97.4,84.48,3.02
21,Hilo,75,US,1566705157,65,19.71,-155.08,82.4,8.05
22,Mapastepec,9,MX,1566705162,89,15.44,-92.9,77.48,2.08
23,Kautokeino,100,NO,1566705163,80,69.01,23.04,41.91,10.67
24,Cherskiy,97,RU,1566705164,32,68.75,161.3,69.98,4.05
25,Do Gonbadan,0,IR,1566705166,47,30.36,50.8,77.0,3.85
26,Salalah,90,OM,1566705167,94,17.01,54.1,78.8,4.7
27,Ahipara,91,NZ,1566704915,89,-35.17,173.16,60.01,1.01
28,Cidreira,35,BR,1566705155,74,-30.17,-50.22,57.21,12.03
29,Prince Rupert,90,CA,1566705171,93,54.32,-130.32,57.2,4.56
30,Belaya Gora,96,RU,1566705172,74,68.54,146.19,62.65,7.43
31,Skjervoy,100,NO,1566705173,76,70.03,20.97,48.56,12.66
32,Ushuaia,20,AR,1566705174,80,-54.81,-68.31,41.0,3.36
33,Zaporizhzhya,0,UA,1566705160,77,47.82,35.18,72.0,6.71
34,Mnogovershinnyy,100,RU,1566705177,84,53.94,139.92,52.46,2.91
